"TASK_TYCD","KEY_MSG","KEY","MSG","LANG_CD"
common,common.label.del.content=This is a deleted post.,common.label.del.content,This is a deleted post.,en
common,common.label.department.agency=Affiliated organization,common.label.department.agency,Affiliated organization,en
common,common.label.department=Organization,common.label.department,Organization,en
common,common.label.dept.major=Department,common.label.dept.major,Department,en
common,common.label.detail.receiver=Recipient,common.label.detail.receiver,Recipient,en
common,common.label.download.pdf=PDF download,common.label.download.pdf,PDF download,en
common,common.label.duplicate.confirm=Double check,common.label.duplicate.confirm,Double check,en
common,common.label.edu.form=Lecture form,common.label.edu.form,Lecture form,en
common,common.label.encourage.sentence=Encouragement content,common.label.encourage.sentence,Encouragement content,en
common,common.label.enroll.course=Lectures,common.label.enroll.course,Lectures,en
common,common.label.enroll.course.statements=Lecture taken,common.label.enroll.course.statements,Lecture taken,en
common,common.label.eval=Evaluation,common.label.eval,Evaluation,en
common,common.label.eval.crit=Evaluation criteria,common.label.eval.crit,Evaluation criteria,en
common,common.label.eval.crit.manage=Evaluation criteria management,common.label.eval.crit.manage,Evaluation criteria management,en
common,common.label.eval.grade=Evaluation grade,common.label.eval.grade,Evaluation grade,en
common,common.label.eval.qstn=Evaluation question,common.label.eval.qstn,Evaluation question,en
common,common.label.evaluation.period=Evaluation period,common.label.evaluation.period,Evaluation period,en
common,common.label.evaluation.personnel=Evaluation personnel,common.label.evaluation.personnel,Evaluation personnel,en
common,common.label.evaluation.question.manage=Evaluation question management,common.label.evaluation.question.manage,Evaluation question management,en
common,common.label.evaluation.type=Evaluation type,common.label.evaluation.type,Evaluation type,en
common,common.label.exam=Exam,common.label.exam,Exam,en
common,common.label.exam.support=Exam support,common.label.exam.support,Exam support,en
common,common.label.evaluation=Evaluation,common.label.evaluation,Evaluation,en
common,common.label.exam.cts.spacing=Exam content,common.label.exam.cts.spacing,Exam content,en
common,common.label.exam.period=Exam period,common.label.exam.period,Exam period,en
common,common.label.exam.score.evaluation=Exam evaluation,common.label.exam.score.evaluation,Exam evaluation,en
common,common.label.exam.time=Exam time,common.label.exam.time,Exam time,en
common,common.label.exam.type=Exam category,common.label.exam.type,Exam category,en
common,common.label.excel.score.add=Excel grade registration,common.label.excel.score.add,Excel grade registration,en
common,common.label.excel.upload=Excel question registration,common.label.excel.upload,Excel question registration,en
common,common.label.exchange.score=Calculated score,common.label.exchange.score,Calculated score,en
common,common.label.exchange=Calculate,common.label.exchange,Calculate,en
common,common.label.production=Calculation,common.label.production,Calculation,en
common,common.label.final=Final,common.label.final,Final,en
common,common.label.ezg_title=This is a UI that helps you evaluate quickly and easily.,common.label.ezg_title,This is a UI that helps you evaluate quickly and easily.,en
common,common.label.filebox=Filebox,common.label.filebox,Filebox,en
